dr, E0
0.01, -0.49998676370555
0.02, -0.499949272460522
0.03, -0.499886798720358
0.04, -0.499799419843793
0.05, -0.499687148171526
0.06, -0.499550008987894
0.07, -0.499388164846603
0.08, -0.499201799917058
0.09, -0.498990813005342
0.1, -0.49875545384243
0.11, -0.498495671670931
0.12, -0.498212021318364
0.13, -0.497904208637607
0.14, -0.497572854668029
0.15, -0.497217766305033
0.16, -0.496839405026351
0.17, -0.496437753883127
0.18, -0.496013349406743
0.19, -0.49556615215299
0.2, -0.495096746302679
0.21, -0.494604754718659
0.22, -0.494091122898581
0.23, -0.49355579093782
0.24, -0.492999041348403
0.25, -0.492421630227772
0.26, -0.491822994172313
0.27, -0.491204337077619
0.28, -0.490565019388136
0.29, -0.489906422024064
0.3, -0.489228337557249
0.31, -0.488531113242303
0.32, -0.487815097050453
0.33, -0.487080637670174
0.34, -0.486328083749333
0.35, -0.485557782312483
0.36, -0.484770076075607
0.37, -0.483966267697948
0.38, -0.483145003530541
0.39, -0.482307402947226
0.4, -0.481454893010935
0.41, -0.480585949362653
0.42, -0.479701703985454
0.43, -0.478803977530656
0.44, -0.477890580247495
0.45, -0.476964507798778
0.46, -0.476023411018491
0.47, -0.47507053604498
0.48, -0.4741031590835
0.49, -0.473125020463356
0.5, -0.472134576662455
0.51, -0.471130859918427
0.52, -0.47011740225844
0.53, -0.469090858179108
0.54, -0.468055907133006
0.55, -0.467010465703862
0.56, -0.465952754800031
0.57, -0.464888008919593
0.58, -0.463813827075552
0.59, -0.462727850299022
0.6, -0.461636516136402
0.61, -0.460536747226008
0.62, -0.459428918657604
0.63, -0.458310320371978
0.64, -0.457188036970284
0.65, -0.456058624695875
0.66, -0.454922434163624
0.67, -0.453775891178699
0.68, -0.452627845423388
0.69, -0.451473875247589
0.7, -0.45031431030238
0.71, -0.449149467718358
0.72, -0.447974923793526
0.73, -0.446801208206666
0.74, -0.445622975655388
0.75, -0.444440525695964
0.76, -0.44325414647829
0.77, -0.442057416648606
0.78, -0.440864997914873
0.79, -0.439669306247129
0.8, -0.438470615826136
0.81, -0.437269189793874
0.82, -0.436065281207281
0.83, -0.434859133845962
0.84, -0.43364268423229
0.85, -0.432433858847638
0.86, -0.431223328157068
0.87, -0.43001132502143
0.88, -0.428798072809477
0.89, -0.427583786103429
0.9, -0.426368671311242
0.91, -0.425140191283436
0.92, -0.423925502670891
0.93, -0.422710382678677
0.94, -0.421495031375441
0.95, -0.420279640084667
0.96, -0.419064391994429
0.97, -0.417849462696879
0.98, -0.416635020666844
0.99, -0.415421227687614
1, -0.41420823923093
