rmax, E0
4, -0.468520949033826
4.5, -0.480804478401366
5, -0.483890158307908
5.5, -0.487118884751683
6, -0.488413497045481
6.5, -0.488726196120947
7, -0.489040841986679
7.5, -0.489160012576649
8, -0.489187566857385
8.5, -0.489214370736952
9, -0.48922408854266
9.5, -0.489226266853878
10, -0.489228337557249
10.5, -0.489229066381165
11, -0.489229226333524
11.5, -0.489229375994741
12, -0.489229427590061
12.5, -0.48922943874387
13, -0.489229449061037
13.5, -0.489229452563933
14, -0.489229453312666
14.5, -0.489229453999256
15, -0.489229454229663
15.5, -0.489229454278483
16, -0.489229454322922
16.5, -0.489229454337717
17, -0.489229454340799
17.5, -0.489229454343631
18, -0.489229454344544
18.5, -0.489229454344735
19, -0.489229454344904
19.5, -0.489229454345008
20, -0.489229454344975
