rmax, E0
4, -0.468520949033837
4.5, -0.480804478401371
5, -0.483890158307918
5.5, -0.487118884751691
6, -0.488413497045488
6.5, -0.488726196120953
7, -0.48904084198668
7.5, -0.489160012576654
8, -0.489187566857397
8.5, -0.489214370736959
9, -0.489224088542678
9.5, -0.489226266853895
10, -0.489228337557277
10.5, -0.489229066381187
11, -0.489229226333542
11.5, -0.489229375994767
12, -0.489229427590094
12.5, -0.489229438743888
13, -0.489229449061067
13.5, -0.489229452563981
14, -0.489229453312719
14.5, -0.489229453999301
15, -0.489229454229692
15.5, -0.489229454278507
16, -0.489229454322965
16.5, -0.489229454337744
17, -0.489229454340856
17.5, -0.48922945434367
18, -0.4892294543446
18.5, -0.489229454344796
19, -0.48922945434497
19.5, -0.489229454345027
20, -0.489229454345041
