# x	spline(x)	splineInt(x)
0	0	0
0.1	0.1	0.005
0.2	0.2	0.02
0.3	0.3	0.045
0.4	0.4	0.08
0.5	0.5	0.125
0.6	0.6	0.18
0.7	0.7	0.245
0.8	0.8	0.32
0.9	0.9	0.405
1	1	0.5
1.1	1.3	0.615
1.2	1.6	0.76
1.3	1.9	0.935
1.4	2.2	1.14
1.5	2.5	1.375
1.6	2.8	1.64
1.7	3.1	1.935
1.8	3.4	2.26
1.9	3.7	2.615
2	4	3
2.1	4.5	3.425
2.2	5	3.9
2.3	5.5	4.425
2.4	6	5.00000000000001
2.5	6.5	5.62500000000001
2.6	7.00000000000001	6.30000000000001
2.7	7.50000000000001	7.02500000000001
2.8	8.00000000000001	7.80000000000001
2.9	8.50000000000001	8.62500000000001
3	9.00000000000001	9.50000000000001
3.1	9.70000000000001	10.435
3.2	10.4	11.44
3.3	11.1	12.515
3.4	11.8	13.66
3.5	12.5	14.875
3.6	13.2	16.16
3.7	13.9	17.515
3.8	14.6	18.94
3.9	15.3	20.435
4	16	22
4.1	16.9	23.645
4.2	17.8	25.38
4.3	18.7	27.205
4.4	19.6	29.12
4.5	20.5	31.125
4.6	21.4	33.22
4.7	22.3	35.405
4.8	23.2	37.68
4.9	24.1	40.045
5	25	42.5
5.1	26.1	45.0549999999999
5.2	27.2	47.7199999999999
5.3	28.3	50.4949999999999
5.4	29.4	53.3799999999999
5.5	30.5	56.3749999999999
5.6	31.6	59.4799999999999
5.7	32.7	62.6949999999999
5.8	33.7999999999999	66.0199999999998
5.9	34.8999999999999	69.4549999999998
5.99999999999999	35.9999999999999	72.9999999999998
6.09999999999999	37.2999999999999	76.6649999999998
6.19999999999999	38.5999999999999	80.4599999999998
6.29999999999999	39.8999999999999	84.3849999999997
6.39999999999999	41.1999999999999	88.4399999999997
6.49999999999999	42.4999999999999	92.6249999999997
6.59999999999999	43.7999999999999	96.9399999999997
6.69999999999999	45.0999999999999	101.385
6.79999999999999	46.3999999999999	105.96
6.89999999999999	47.6999999999999	110.665
6.99999999999999	48.9999999999999	115.5
7.09999999999999	50.4999999999999	120.475
7.19999999999999	51.9999999999999	125.599999999999
7.29999999999999	53.4999999999999	130.874999999999
7.39999999999999	54.9999999999998	136.299999999999
7.49999999999999	56.4999999999998	141.874999999999
7.59999999999999	57.9999999999998	147.599999999999
7.69999999999999	59.4999999999998	153.474999999999
7.79999999999999	60.9999999999998	159.499999999999
7.89999999999999	62.4999999999998	165.674999999999
7.99999999999999	63.9999999999998	171.999999999999
8.09999999999999	65.6999999999998	178.484999999999
8.19999999999999	67.3999999999998	185.139999999999
8.29999999999999	69.0999999999998	191.964999999999
8.39999999999999	70.7999999999998	198.959999999999
8.49999999999999	72.4999999999998	206.124999999999
8.59999999999999	74.1999999999997	213.459999999999
8.69999999999999	75.8999999999997	220.964999999999
8.79999999999998	77.5999999999997	228.639999999999
8.89999999999998	79.2999999999997	236.484999999999
8.99999999999998	80.9999999999997	244.499999999999
