# x	spline(x)	splineInt(x)	splineDeriv(x)
0	0	0	0.693147180559945
0.1	0.0693147180559945	0.00346573590279973	0.693147180559945
0.2	0.138629436111989	0.0138629436111989	0.693147180559945
0.3	0.207944154167984	0.0311916231251975	0.693147180559945
0.4	0.277258872223978	0.0554517744447956	0.693147180559945
0.5	0.346573590279973	0.0866433975699932	0.693147180559945
0.6	0.415888308335967	0.12476649250079	0.693147180559945
0.7	0.485203026391962	0.169821059237187	0.693147180559945
0.8	0.554517744447956	0.221807097779182	0.693147180559945
0.9	0.623832462503951	0.280724608126778	0.693147180559945
1	0.693147180559945	0.346573590279973	0.693147180559945
1.1	0.702048663401066	0.416381329490098	0.0602466211660276
1.2	0.705196504793151	0.486791534911885	0.00271020667567141
1.3	0.7025907047362	0.557228842400427	-0.0548262078146848
1.4	0.694231263230214	0.627117887810824	-0.112362622305041
1.5	0.680118180275192	0.695883306998169	-0.169899036795397
1.6	0.660251455871134	0.762949735817561	-0.227435451285753
1.7	0.634631090018041	0.827741810124095	-0.28497186577611
1.8	0.603257082715912	0.889684165772868	-0.342508280266466
1.9	0.566129433964748	0.948201438618976	-0.400044694756822
2	1.09861228866811	1.00271826451752	0.457581109247178
2.1	1.14606938996078	1.11492403194283	0.491560916606257
2.2	1.19692447198936	1.2320454085342	0.525540723965337
2.3	1.25117753475385	1.35442219236523	0.559520531324416
2.4	1.30882857825425	1.4823941815095	0.593500338683496
2.5	1.36987760249055	1.61630117404061	0.627480146042575
2.6	1.43432460746276	1.75648296803214	0.661459953401655
2.7	1.50216959317088	1.90327936155769	0.695439760760734
2.8	1.57341255961491	2.05703015269085	0.729419568119814
2.9	1.64805350679484	2.21807513950521	0.763399375478893
3	1.38629436111989	2.38675412007435	-0.0112940066187591
3.1	1.38282058487868	2.5252489403006	-0.0581815182053528
3.2	1.37465805747882	2.6631619453448	-0.105069029791946
3.3	1.3618067789203	2.80002426009108	-0.15195654137854
3.4	1.34426674920311	2.93536700942357	-0.198844052965134
3.5	1.32203796832727	3.06872131822641	-0.245731564551727
3.6	1.29512043629277	3.19961831138373	-0.292619076138321
3.7	1.2635141530996	3.32758911377967	-0.339506587724915
3.8	1.22721911874778	3.45216485029837	-0.386394099311508
3.9	1.1862353332373	3.57287664582394	-0.433281610898102
4	1.6094379124341	3.68925562524054	0.375937120206668
4.1	1.64896778008889	3.85214364060612	0.414660232889211
4.2	1.69236995901194	4.01917825830059	0.453383345571753
4.3	1.73964444920325	4.19074670945078	0.492106458254296
4.4	1.7907912506628	4.36723622518351	0.530829570936838
4.5	1.84581036339061	4.54903403662562	0.569552683619381
4.6	1.90470178738668	4.73652737490391	0.608275796301923
4.7	1.967465522651	4.93010347114522	0.646998908984466
4.8	2.03410156918357	5.13014955647638	0.685722021667008
4.9	2.1046099269844	5.33705286202421	0.724445134349551
5	2.17899059605348	5.55120061891554	0.763168247032093
5.1	1.78277802876905	5.72996445822212	-0.111993048628032
5.2	1.76936085950245	5.90760836704243	-0.156350336703914
5.3	1.75150796142826	6.08368877249569	-0.200707624779796
5.4	1.72921933454649	6.25776210170116	-0.245064912855677
5.5	1.70249497885713	6.42938478177807	-0.289422200931559
5.6	1.67133489436018	6.59811323984566	-0.333779489007441
5.7	1.63573908105564	6.76350390302318	-0.378136777083323
5.8	1.59570753894351	6.92511319842987	-0.422494065159204
5.9	1.5512402680238	7.08249755318496	-0.466851353235086
5.99999999999999	1.5023372682965	7.23521339440771	-0.511208641310968
6.09999999999999	1.9813916751672	7.43154495775997	0.374931976436529
6.19999999999999	2.02089654434262	7.6316258408766	0.415165407071863
6.29999999999999	2.06442475658157	7.83585837806394	0.455398837707198
6.39999999999999	2.11197631188406	8.04464490362836	0.495632268342533
6.49999999999999	2.16355121025008	8.2583877518762	0.535865698977867
6.59999999999999	2.21914945167963	8.47748925711382	0.576099129613202
6.69999999999999	2.27877103617272	8.70235175364758	0.616332560248536
6.79999999999999	2.34241596372934	8.93337757578382	0.656565990883871
6.89999999999999	2.41008423434949	9.17096905782889	0.696799421519206
6.99999999999999	2.48177584803318	9.41552853408916	0.73703285215454
7.09999999999999	2.06735913912955	9.62290472071466	-0.142515576517387
7.19999999999999	2.05093842637636	9.82885575157498	-0.18589867854635
7.29999999999999	2.03017940342028	10.0329477956498	-0.229281780575312
7.39999999999999	2.0050820702613	10.2347470219189	-0.272664882604274
7.49999999999999	1.97564642689942	10.433819599362	-0.316047984633236
7.59999999999999	1.94187247333465	10.6297316969587	-0.359431086662199
7.69999999999999	1.90376020956698	10.8220494836888	-0.402814188691161
7.79999999999999	1.86130963559642	11.010339128532	-0.446197290720124
7.89999999999999	1.81452075142296	11.194166800468	-0.489580392749086
7.99999999999999	1.7633935570466	11.3730986684765	-0.532963494778048
8.09999999999999	2.22616499801516	11.5943022294091	0.268954907774836
8.19999999999999	2.25101555889118	11.8181953394194	0.228056309745585
8.29999999999999	2.27177625996428	12.0443690125272	0.187157711716334
8.39999999999999	2.28844710123445	12.2724142627522	0.146259113687083
8.49999999999999	2.30102808270169	12.501922104114	0.105360515657832
8.59999999999999	2.30951920436602	12.7324835506324	0.0644619176285813
8.69999999999999	2.31392046622741	12.9636896163271	0.0235633195993304
8.79999999999998	2.31423186828588	13.1951313152178	-0.0173352784299204
8.89999999999998	2.31045341054143	13.4263996613242	-0.0582338764591713
8.99999999999998	2.30258509299405	13.657085668666	-0.0991324744884221
