0 0
3,80071044604633E-05 0
7,41672386058629E-05 3,05793452178676E-13
0,000109218876334057 1,15759687905504E-12
0,000143595026852367 2,77499003215561E-12
0,000177555624513137 5,37257888997468E-12
0,000211259056678595 9,16524974533965E-12
0,000244802750534388 1,43695670783982E-11
0,000278246992960414 2,12037939267613E-11
0,000311629228404494 2,98875043897439E-11
0,000344972768297802 4,0641155876014E-11
0,000378292146717983 5,36857414149016E-11
0,000411596433619816 6,92425433500177E-11
0,000444891292350633 8,75329743702504E-11
0,000478180260432484 1,08778483218529E-10
0,000511465548036431 1,33200504089306E-10
0,00054474853624276 1,61020433458185E-10
0,000578030088146686 1,92459622928683E-10
0,000611310743179561 2,27739380624145E-10
0,000644590838512821 2,67080976526091E-10
0,000677870584917174 3,10705649107365E-10
0,000711150114167449 3,58834611854035E-10
0,000744429508667839 4,11689059024564E-10
0,000777708819966587 4,69490170425326E-10
0,000810988080327243 5,32459115208356E-10
0,000844267309960526 6,00817054802313E-10
0,000877546521544181 6,74785145123877E-10
0,000910825723047858 7,54584538217002E-10
0,000944104919498656 8,40436383451047E-10
0,000977384114084582 9,32561828386576E-10
0,00101066330884421 1,03118201939533E-09
0,00104394250509772 1,136518102101E-09
0,00107722170371629 1,24879122169095E-09
0,00111050090529048 1,36822252313594E-09
0,00114378011023547 1,49503315134493E-09
0,00117705931885681 1,62944425127426E-09
0,00121033853139153 1,7716769680051E-09
0,00124361774803387 1,92195244679898E-09
0,00127689696895128 2,08049183313815E-09
0,00131017619429449 2,24751627275553E-09
0,00134345542420378 2,42324691165768E-09
0,0013767346588129 2,60790489614287E-09
0,00141001389825152 2,80171137281592E-09
0,00144329314264673 3,00488748860085E-09
0,00147657239212406 3,217654390752E-09
0,00150985164680802 3,44023322686424E-09
0,00154313090682251 3,67284514488239E-09
0,00157641017229103 3,91571129311034E-09
0,00160968944333685 4,16905282021976E-09
0,00164296872008306 4,43309087525863E-09
0,0016762480026527 4,70804660765971E-09
0,00170952729116871 4,99414116724885E-09
0,00174280658575401 5,29159570425324E-09
0,00177608588653149 5,60063136930969E-09
0,00180936519362405 5,92146931347281E-09
0,00184264450715454 6,25433068822322E-09
0,00187592382724583 6,59943664547573E-09
0,00190920315402079 6,95700833758754E-09
0,00194248248760227 7,32726691736635E-09
0,00197576182811314 7,71043353807862E-09
0,00200904117567625 8,10672935345766E-09
0,00204232053041446 8,51637551771184E-09
0,00207559989245062 8,93959318553274E-09
0,0021088792619076 9,37660351210333E-09
0,00214215863890825 9,8276276531061E-09
0,00217543802357542 1,02928867647313E-08
0,00220871741603198 1,07726020036849E-08
0,00224199681640077 1,12669945271972E-08
0,00227527622480467 1,17762854930304E-08
0,00230855564136651 1,23006960594872E-08
0,00234183506620916 1,28404473854188E-08
0,00237511449945548 1,33957606302332E-08
0,00240839394122832 1,39668569539032E-08
0,00244167339165054 1,45539575169745E-08
0,002474952850845 1,51572834805741E-08
0,00250823231893454 1,57770560064183E-08
0,00254151179604204 1,64134962568211E-08
0,00257479128229035 1,7066825394702E-08
0,00260807077780231 1,77372645835943E-08
0,0026413502827008 1,84250349876535E-08
0,00267462979710867 1,91303577716651E-08
0,00270790932114876 1,98534541010531E-08
0,00274118885494395 2,05945451418878E-08
0,00277446839861709 2,13538520608944E-08
0,00280774795229104 2,21315960254607E-08
0,00284102751608864 2,29279982036458E-08
0,00287430709013277 2,37432797641876E-08
0,00290758667454627 2,45776618765116E-08
0,00294086626945201 2,54313657107388E-08
0,00297414587497284 2,63046124376936E-08
0,00300742549123162 2,71976232289124E-08
0,0030407051183512 2,81106192566517E-08
0,00307398475645445 2,9043821693896E-08
0,00310726440566422 2,9997451714366E-08
0,00314054406610336 3,09717304925272E-08
0,00317382373789475 3,19668792035975E-08
0,00320710342116122 3,29831190235557E-08
0,00324038311602565 3,40206711291495E-08
0,00327366282261089 3,50797566979039E-08
0,0033069425410398 3,6160596908129E-08
0,00334022227143523 3,72634129389286E-08
0,00337350201392004 3,83884259702079E-08
0,00340678176861709 3,95358571826821E-08
0,00344006153564925 4,07059277578843E-08
0,00347334131513935 4,18988588781736E-08
0,00350662110721028 4,31148717267437E-08
0,00353990091198487 4,43541874876305E-08
0,003573180729586 4,56170273457206E-08
0,00360646056013652 4,69036124867593E-08
0,00363974040375928 4,82141640973592E-08
0,00367302026057715 4,95489033650075E-08
0,00370630013071298 5,09080514780752E-08
0,00373958001428963 5,22918296258245E-08
0,00377285991142997 5,37004589984171E-08
0,00380613982225684 5,51341607869227E-08
0,00383941974689311 5,6593156183327E-08
0,00387269968546164 5,80776663805396E-08
0,00390597963808529 5,95879125724025E-08
0,0039392596048869 6,11241159536981E-08
0,00397253958598935 6,26864977201575E-08
0,00400581958151549 6,42752790684685E-08
0,00403909959158818 6,58906811962838E-08
0,00407237961633028 6,75329253022294E-08
0,00410565965586465 6,92022325859124E-08
0,00413893971031415 7,08988242479294E-08
0,00417221977980163 7,26229214898746E-08
0,00420549986444996 7,4374745514348E-08
0,00423877996438199 7,61545175249635E-08
0,00427206007972059 7,79624587263571E-08
0,00430534021058861 7,97987903241951E-08
0,00433862035710892 8,16637335251822E-08
0,00437190051940436 8,35575095370698E-08
0,00440518069759781 8,5480339568664E-08
0,00443846089181212 8,74324448298338E-08
0,00447174110217015 8,94140465315194E-08
0,00450502132879477 9,14253658857401E-08
0,00453830157180882 9,34666241056029E-08
0,00457158183133518 9,55380424053101E-08
0,00460486210749669 9,7639842000168E-08
0,00463814240041623 9,97722441065946E-08
0,00467142271021665 1,01935469942128E-07
0,00470470303702081 1,04129740725436E-07
0,00473798338095157 1,06355277676319E-07
0,00477126374213179 1,08612302015727E-07
0,00480454412068433 1,10901034965759E-07
0,00483782451673206 1,13221697749677E-07
0,00487110493039782 1,1557451159191E-07
0,0049043853618045 1,17959697718067E-07
0,00493766581107493 1,2037747735494E-07
0,00497094627833199 1,22828071730517E-07
0,00500422676369854 1,25311702073985E-07
0,00503750726729743 1,27828589615743E-07
0,00507078778925153 1,30378955587407E-07
0,0051040683296837 1,3296302122182E-07
0,00513734888871679 1,35581007753059E-07
0,00517062946647368 1,38233136416444E-07
0,00520391006307722 1,40919628448545E-07
0,00523719067865027 1,43640705087192E-07
0,0052704713133157 1,46396587571481E-07
0,00530375196719636 1,49187497141784E-07
0,00533703264041512 1,52013655039756E-07
0,00537031333309484 1,54875282508344E-07
0,00540359404535838 1,57772600791795E-07
0,00543687477732861 1,60705831135662E-07
0,00547015552912837 1,63675194786818E-07
0,00550343630088055 1,66680912993456E-07
0,00553671709270799 1,69723207005104E-07
0,00556999790473356 1,7280229807263E-07
0,00560327873708012 1,7591840744825E-07
0,00563655958987054 1,79071756385539E-07
0,00566984046322768 1,82262566139435E-07
0,00570312135727439 1,8549105796625E-07
0,00573640227213355 1,88757453123677E-07
0,00576968320792801 1,920619728708E-07
0,00580296416478064 1,954048384681E-07
0,0058362451428143 1,98786271177463E-07
0,00586952614215185 2,0220649226219E-07
0,00590280716291616 2,05665722987005E-07
0,00593608820523009 2,09164184618061E-07
0,00596936926921649 2,12702098422951E-07
0,00600265035499825 2,16279685670713E-07
0,00603593146269821 2,19897167631842E-07
0,00606921259243924 2,23554765578294E-07
0,00610249374434421 2,27252700783499E-07
0,00613577491853597 2,30991194522364E-07
0,0061690561151374 2,34770468071284E-07
0,00620233733427135 2,38590742708152E-07
0,0062356185760607 2,42452239712362E-07
