N	MC est. error	MC actual error	Value
1	0.000000E+000	2.882863E+000	0.258730
2	7.266916E-003	2.774273E+000	0.367320
3	3.027662E-001	1.532267E+000	1.609326
4	7.759117E-001	2.114032E+000	1.027561
5	9.672823E-001	9.937830E-001	2.147810
6	1.500643E+000	7.930088E-001	2.348584
7	1.740998E+000	1.194872E-001	3.022105
8	1.657276E+000	1.114075E-001	3.253000
9	1.356915E+000	1.323497E-002	3.154828
10	6.263913E-001	1.367477E+000	1.774116
11	6.444435E-001	8.304709E-001	2.311122
12	1.511849E+000	1.126884E+000	4.268477
13	1.566671E+000	2.219759E+000	5.361352
14	1.412553E+000	1.102328E+000	4.243921
15	9.517124E-001	4.872257E-001	3.628818
16	1.075441E+000	8.634628E-001	4.005055
17	1.041535E+000	4.928947E-002	3.190882
18	1.125700E+000	1.645906E+000	4.787498
19	8.565188E-001	7.406926E-002	3.215662
20	9.565482E-001	8.243739E-002	3.059155
21	7.671492E-001	1.135025E+000	2.006567
22	1.214385E+000	1.405171E+000	4.546763
23	6.009106E-001	1.062641E+000	2.078951
24	5.800164E-001	9.326558E-001	2.208937
25	6.288451E-001	3.939584E-001	2.747634
26	7.035331E-001	5.746630E-001	2.566930
28	8.552417E-001	1.867454E-001	3.328338
29	7.338860E-001	7.250271E-001	2.416566
30	5.189103E-001	1.115342E+000	2.026250
32	7.928996E-001	4.974455E-001	2.644147
33	5.448274E-001	2.835733E-001	2.858019
35	6.006243E-001	6.281295E-001	2.513463
36	6.599902E-001	8.274060E-002	3.224333
38	7.044468E-001	2.883594E-001	3.429952
40	6.428483E-001	2.554553E-001	3.397048
42	4.950424E-001	1.075775E-001	3.034015
44	6.652142E-001	4.328517E-001	3.574444
46	4.728035E-001	5.111462E-001	2.630446
48	3.612023E-001	9.956766E-001	2.145916
50	5.839528E-001	5.551044E-002	3.086082
52	4.121608E-001	5.056013E-001	2.635991
55	4.320312E-001	1.964112E-001	2.945181
58	5.557950E-001	8.397201E-001	3.981313
60	5.257191E-001	2.299703E-001	3.371563
63	4.851296E-001	4.107256E-001	3.552318
66	5.333733E-001	1.026446E+000	4.168039
69	4.180331E-001	5.100100E-001	2.631583
72	4.293556E-001	2.990065E-001	3.440599
76	4.022640E-001	1.913625E-001	2.950230
79	4.887630E-001	5.452736E-001	3.686866
83	4.620612E-001	3.725655E-002	3.104336
87	4.117089E-001	1.881856E-001	2.953407
91	4.609115E-001	6.237509E-002	3.203968
95	4.074972E-001	1.057565E-001	3.247349
100	4.413495E-001	4.911001E-001	3.632693
