N	MC est. error	MC actual error	Value
1	0.000000E+000	7.840729E-003	0.265853004
2	4.540527E-002	1.932888E-002	0.238683400
3	1.773552E-002	1.676099E-001	0.090402354
4	7.319176E-002	3.090224E-001	-0.051010125
5	5.796510E-002	2.365221E-001	0.021490178
6	1.505545E-001	1.697623E-001	0.088249994
7	1.314185E-001	3.207630E-001	-0.062750694
8	1.416081E-001	3.147733E-001	-0.056761038
9	3.662283E-002	3.548512E-001	-0.096838906
10	1.346244E-001	1.584610E-001	0.099551234
11	5.755747E-002	2.088324E-001	0.049179885
12	5.774674E-002	2.309186E-001	0.027093699
13	1.267505E-001	9.594165E-002	0.162070625
14	1.068319E-001	3.037567E-001	-0.045744411
15	8.455554E-002	4.978441E-001	-0.239831794
16	7.360346E-002	1.831508E-001	0.074861521
17	7.523910E-002	1.483422E-001	0.109670026
18	7.264207E-002	2.362145E-001	0.021797820
19	7.893797E-002	2.089331E-001	0.049079152
20	5.105443E-002	3.428867E-001	-0.084874403
21	7.051318E-002	1.688163E-001	0.089196012
22	6.431008E-002	2.225200E-001	0.035492294
23	6.017327E-002	2.456195E-001	0.012392778
24	7.235755E-002	1.741086E-001	0.083903721
25	5.883350E-002	2.676047E-001	-0.009592415
26	7.376884E-002	2.757033E-001	-0.017690991
28	6.571617E-002	2.178621E-001	0.040150134
29	7.235479E-002	2.506818E-001	0.007330451
30	7.347573E-002	2.481229E-001	0.009889415
32	5.910152E-002	3.225208E-001	-0.064508520
33	6.145131E-002	2.565857E-001	0.001426554
35	5.576439E-002	2.198589E-001	0.038153326
36	6.368522E-002	1.915568E-001	0.066455427
38	5.463743E-002	3.554843E-001	-0.097472058
40	5.577265E-002	2.710636E-001	-0.013051359
42	5.791049E-002	1.771427E-001	0.080869566
44	5.245186E-002	2.500546E-001	0.007957678
46	5.265036E-002	3.458874E-001	-0.087875083
48	5.365128E-002	2.646408E-001	-0.006628496
50	4.471515E-002	2.925216E-001	-0.034509374
52	4.442825E-002	2.484141E-001	0.009598222
55	6.087623E-002	2.386894E-001	0.019322840
58	4.833052E-002	2.016957E-001	0.056316573
60	4.272680E-002	1.862854E-001	0.071726884
63	5.542784E-002	2.534663E-001	0.004545974
66	3.965887E-002	2.141679E-001	0.043844349
69	3.775750E-002	3.030188E-001	-0.045006494
72	4.513737E-002	2.924894E-001	-0.034477097
76	4.025215E-002	2.024272E-001	0.055585087
79	4.643204E-002	2.859416E-001	-0.027929324
83	4.058107E-002	2.300217E-001	0.027990579
87	3.171901E-002	2.586738E-001	-0.000661551
91	3.668976E-002	2.105642E-001	0.047448066
95	4.309336E-002	2.020733E-001	0.055938936
100	3.705113E-002	2.572523E-001	0.000759929
