N	MC est. error	MC actual error	Value
1	0.000000E+000	3.100357E-001	1.083168248
2	9.094425E-002	2.678944E-001	1.661098339
3	1.088599E-001	1.431518E-001	1.250052154
4	9.373056E-002	4.116726E-001	0.981531323
5	1.092308E-001	1.735861E-001	1.219617810
6	9.779865E-002	3.417155E-001	1.051488448
7	2.888246E-001	2.518107E-004	1.393455740
8	4.305593E-001	2.075174E-002	1.372452185
9	1.385827E-001	2.652305E-001	1.127973442
10	4.964410E-002	3.984864E-001	0.994717536
11	1.798759E-001	1.753507E-001	1.217853275
12	2.659111E-001	5.311834E-002	1.340085589
13	5.784920E-002	4.774823E-001	0.915721664
14	4.522529E-002	5.102037E-001	0.883000236
15	1.684878E-001	3.417119E-002	1.359032739
16	8.330436E-002	2.951178E-001	1.098086120
17	9.894893E-002	2.811498E-001	1.112054139
18	1.396563E-001	2.242601E-001	1.168943829
19	2.334813E-001	6.749670E-002	1.325707231
20	1.917364E-001	3.196064E-002	1.361243290
21	1.839255E-001	1.120504E-001	1.281153555
22	1.960002E-001	1.796032E-001	1.213600779
23	1.660137E-001	8.422627E-002	1.308977659
24	2.910187E+000	2.605204E+000	3.998407692
25	9.248749E-002	2.347145E-001	1.158489439
26	1.111963E-001	3.295365E-001	1.063667460
28	1.256632E-001	2.092927E-001	1.183911189
29	2.816585E-001	2.235569E-002	1.370848237
30	8.840600E-002	2.914086E-001	1.101795352
32	1.609492E-001	1.937435E-001	1.199460452
33	6.785975E-002	3.599555E-001	1.033248394
35	2.725551E-001	1.234086E-001	1.516612532
36	1.895367E-001	1.190169E-001	1.274187013
38	1.926351E+000	1.722515E+000	3.115719059
40	8.807481E-001	4.980904E-001	1.891294335
42	2.457500E-001	5.227245E-002	1.445476383
44	1.054232E-001	3.518782E-001	1.041325730
46	8.756185E-002	2.595331E-001	1.133670796
48	9.146705E-002	2.538831E-001	1.139320834
50	5.014816E-001	3.344485E-001	1.727652469
52	2.911297E-001	1.811402E-001	1.574344173
55	1.700333E-001	4.720320E-002	1.440407130
58	1.383648E-001	1.156446E-001	1.277559288
60	1.295476E-001	1.314739E-001	1.261730030
63	1.384511E-001	5.226706E-002	1.340936873
66	2.652130E+000	2.624845E+000	4.018049189
69	8.900057E-002	1.292547E-001	1.263949265
72	5.844182E-001	5.424375E-001	1.935641460
76	7.120815E-002	2.379197E-001	1.155284260
79	2.003342E-001	7.020134E-002	1.463405269
83	1.188221E-001	2.360713E-002	1.369596801
87	1.060264E-001	2.236885E-001	1.169515380
91	1.054398E-001	1.181745E-001	1.275029429
95	1.352234E-001	7.623992E-002	1.316964007
100	1.470917E-001	7.503029E-002	1.318173635
