N	MC est. error	MC actual error	Value
1	0.000000E+000	3.141593E+000	0.000000
2	1.414214E+000	1.141593E+000	2.000000
3	1.088662E+000	1.808259E+000	1.333333
4	0.000000E+000	8.584073E-001	4.000000
5	8.763561E-001	1.541593E+000	1.600000
6	0.000000E+000	8.584073E-001	4.000000
7	5.290401E-001	2.869788E-001	3.428571
8	4.677072E-001	3.584073E-001	3.500000
9	5.543196E-001	3.048154E-002	3.111111
10	3.794733E-001	4.584073E-001	3.600000
11	0.000000E+000	8.584073E-001	4.000000
12	5.000000E-001	1.415927E-001	3.000000
13	4.674182E-001	6.466958E-002	3.076923
14	4.386568E-001	1.264489E-003	3.142857
15	3.510830E-001	3.250740E-001	3.466667
16	3.903124E-001	1.084073E-001	3.250000
17	2.282688E-001	6.231132E-001	3.764706
18	3.513642E-001	1.917407E-001	3.333333
19	2.816236E-001	4.373547E-001	3.578947
20	3.193744E-001	2.584073E-001	3.400000
21	3.054414E-001	2.869788E-001	3.428571
22	4.102371E-001	5.961381E-001	2.545455
23	3.662421E-001	1.850709E-001	2.956522
24	3.849002E-001	4.749260E-001	2.666667
25	3.200000E-001	5.840735E-002	3.200000
26	3.305146E-001	6.466958E-002	3.076923
27	2.990272E-001	1.176666E-001	3.259259
28	2.645200E-001	2.869788E-001	3.428571
29	1.882174E-001	5.825453E-001	3.724138
30	2.482532E-001	3.250740E-001	3.466667
31	3.003807E-001	4.481846E-002	3.096774
32	2.923170E-001	1.659265E-002	3.125000
33	2.984036E-001	1.112896E-001	3.030303
34	2.909868E-001	8.276912E-002	3.058824
35	2.548194E-001	1.726931E-001	3.314286
36	2.484520E-001	1.917407E-001	3.333333
37	2.920379E-001	2.226737E-001	2.918919
38	2.515443E-001	1.215652E-001	3.263158
39	2.458029E-001	1.404586E-001	3.282051
40	2.641023E-001	4.159265E-002	3.100000
41	2.475632E-001	7.791954E-002	3.219512
42	2.628821E-001	9.397361E-002	3.047619
43	2.576999E-001	7.182521E-002	3.069767
44	2.858417E-001	5.052290E-001	2.636364
45	2.161136E-001	2.361851E-001	3.377778
46	2.339620E-001	7.579865E-002	3.217391
47	2.295759E-001	9.244990E-002	3.234043
48	2.344714E-001	2.507401E-002	3.166667
49	2.212672E-001	1.237135E-001	3.265306
50	2.343331E-001	2.159265E-002	3.120000
51	2.441002E-001	1.612005E-001	2.980392
52	2.098507E-001	1.660997E-001	3.307692
53	2.299475E-001	4.725303E-002	3.094340
54	2.327196E-001	1.045556E-001	3.037037
55	1.995336E-001	2.038619E-001	3.345455
56	2.314550E-001	1.415927E-001	3.000000
57	2.159954E-001	1.630208E-002	3.157895
58	2.347484E-001	2.450409E-001	2.896552
59	2.096146E-001	4.484802E-002	3.186441
60	2.283597E-001	2.082593E-001	2.933333
61	1.896052E-001	2.026696E-001	3.344262
62	2.474400E-001	6.899798E-001	2.451613
63	1.913142E-001	1.599946E-001	3.301587
64	1.951562E-001	1.084073E-001	3.250000
65	1.860301E-001	1.814843E-001	3.323077
66	2.012842E-001	9.922498E-003	3.151515
67	2.037019E-001	3.711504E-002	3.104478
68	1.849189E-001	1.525250E-001	3.294118
69	1.883007E-001	1.047842E-001	3.246377
70	2.126057E-001	2.273069E-001	2.914286
71	2.025787E-001	9.933913E-002	3.042254
72	2.142673E-001	3.082593E-001	2.833333
73	2.054231E-001	1.826885E-001	2.958904
74	2.152095E-001	3.848359E-001	2.756757
75	2.042511E-001	2.082593E-001	2.933333
76	1.870575E-001	1.630208E-002	3.157895
77	2.030147E-001	2.325017E-001	2.909091
78	1.869853E-001	1.338753E-002	3.128205
79	1.615278E-001	2.508124E-001	3.392405
80	1.967708E-001	1.915927E-001	2.950000
81	1.396754E-001	4.139629E-001	3.555556
82	1.896925E-001	1.172024E-001	3.024390
83	1.644112E-001	1.837086E-001	3.325301
84	1.825890E-001	4.635456E-002	3.095238
85	1.653965E-001	1.525250E-001	3.294118
86	1.717755E-001	6.770967E-002	3.209302
87	1.771791E-001	1.515587E-002	3.126437
88	1.817536E-001	9.613811E-002	3.045455
89	1.628157E-001	1.393062E-001	3.280899
90	1.783325E-001	7.492599E-002	3.066667
91	1.894267E-001	2.844498E-001	2.857143
92	1.618577E-001	1.192769E-001	3.260870
93	1.704166E-001	1.807707E-003	3.139785
94	1.822900E-001	2.054224E-001	2.936170
95	1.907620E-001	4.047505E-001	2.736842
96	1.715854E-001	5.825932E-002	3.083333
97	1.700765E-001	4.880915E-002	3.092784
98	1.761377E-001	1.620008E-001	2.979592
99	1.643479E-001	9.922498E-003	3.151515
100	1.466424E-001	2.184073E-001	3.360000
