N	MC est. error	MC actual error	Value
1	0.000000E+000	1.280710E+000	4.364762614
2	3.346758E+000	1.682779E+000	4.766831072
3	7.864821E-001	5.863375E-001	2.497714855
4	1.070612E+000	1.633171E-002	3.100384084
5	1.303966E+000	1.338669E+000	4.422721623
6	1.565936E+000	5.556701E-001	2.528382303
7	8.557586E-001	4.190548E-001	2.664997589
8	1.587005E+000	3.262143E-001	2.757838046
9	8.013654E-001	1.931470E+000	1.152582868
10	1.863809E+000	2.508856E+000	5.592908655
11	9.665287E-001	1.009780E+000	2.074272688
12	1.461355E+000	1.430636E+000	4.514688187
13	7.517103E-001	7.523883E-001	2.331664116
14	7.397481E-001	1.145616E+000	1.938436564
15	1.117841E+000	3.381653E-001	3.422217642
16	1.191079E+000	8.034254E-001	3.887477798
17	5.043073E-001	6.166360E-001	2.467416371
18	9.048298E-001	6.384134E-001	2.445638983
19	7.419637E-001	8.188931E-002	3.165941687
20	5.479051E-001	1.212733E+000	1.871319110
21	1.009310E+000	6.988683E-001	3.782920712
22	6.661607E-001	6.248235E-001	2.459228907
23	1.027049E+000	1.242948E+000	4.326999929
24	7.003778E-001	1.056781E-001	2.978374299
25	7.685710E-001	4.453161E-001	3.529368482
26	3.961696E-001	1.578510E+000	1.505542827
27	8.488315E-001	1.124120E-001	2.971640367
28	7.637467E-001	1.046715E-002	3.073585226
29	6.417187E-001	1.005678E-001	3.184620172
30	7.405335E-001	1.563867E-001	2.927665634
31	7.439331E-001	9.558151E-001	4.039867485
32	7.706713E-001	4.886519E-001	3.572704252
33	6.934145E-001	3.889948E-002	3.122951858
34	6.358961E-001	3.032786E-001	3.387331014
35	6.777740E-001	7.518561E-001	3.835908487
36	7.008898E-001	6.733748E-002	3.016714897
37	4.503694E-001	1.015448E+000	2.068604765
38	5.655066E-001	2.639080E-001	3.347960385
39	8.057842E-001	1.370556E+000	4.454608164
40	6.340026E-001	6.950208E-001	3.779073202
41	4.842311E-001	9.456634E-001	2.138389003
42	6.495552E-001	7.680055E-001	3.852057912
43	6.350029E-001	6.689386E-001	3.752991005
44	6.092390E-001	9.997393E-002	3.184026308
45	6.100372E-001	2.732423E-002	3.111376606
46	5.306567E-001	2.658868E-001	2.818165563
47	6.368970E-001	8.127542E-001	3.896806576
48	5.844742E-001	1.355564E-001	2.948495956
49	5.026577E-001	2.380843E-001	3.322136700
50	5.576912E-001	4.614125E-001	3.545464905
51	4.891102E-001	1.676195E-002	3.067290424
52	5.094619E-001	1.846552E-001	2.899397139
53	6.255204E-001	3.110877E-001	3.395140040
54	5.161616E-001	3.585090E-001	2.725543386
55	3.733425E-001	5.566197E-001	2.527432634
56	4.202473E-001	1.559461E-001	2.928106274
57	5.086747E-001	2.491175E-001	2.834934892
58	4.390792E-001	4.328378E-001	2.651214612
59	6.239977E-001	1.058231E+000	4.142283714
60	4.788755E-001	1.875934E-001	2.896459002
61	5.034576E-001	3.847001E-001	3.468752447
62	4.725264E-001	1.862071E-001	3.270259482
63	4.537461E-001	5.688474E-001	2.515204974
64	4.588093E-001	2.466168E-001	2.837435596
65	5.770579E-001	8.939937E-001	3.978046103
66	4.381069E-001	4.794047E-001	2.604647642
67	4.877479E-001	2.576455E-003	3.086628832
68	4.980255E-001	2.060975E-003	3.081991402
69	4.591062E-001	4.462365E-002	3.039428727
70	4.141500E-001	6.221444E-001	2.461907978
71	4.573678E-001	8.806867E-002	3.172121051
72	4.602514E-001	7.044663E-002	3.013605742
73	4.983583E-001	4.369406E-001	3.520992938
74	4.347799E-001	1.122740E-002	3.095279777
75	4.957636E-001	4.770184E-001	3.561070776
76	3.259446E-001	8.800503E-001	2.204002107
77	3.596707E-001	5.003465E-001	2.583705842
78	4.914004E-001	6.166775E-001	3.700729914
79	3.805391E-001	7.450021E-001	2.339050292
80	4.913781E-001	1.105730E+000	4.189782320
81	4.910810E-001	5.026207E-002	3.033790311
82	3.208185E-001	1.096299E+000	1.987753040
83	3.916433E-001	6.335618E-001	2.450490591
84	3.774776E-001	5.361896E-001	2.547862785
85	4.245301E-001	4.350179E-001	2.649034434
86	3.864653E-001	6.121186E-001	2.471933771
87	4.246022E-001	6.733891E-002	3.016713467
88	3.914830E-001	1.825124E-001	2.901539977
89	3.751783E-001	3.926668E-001	2.691385554
90	4.675698E-001	8.561219E-001	3.940174291
91	3.524611E-001	3.223146E-001	2.761737751
92	4.120172E-001	4.008961E-001	2.683156251
93	4.280716E-001	1.607425E-001	2.923309831
94	3.360630E-001	5.748343E-001	2.509218037
95	4.229734E-001	3.488485E-002	3.118937223
96	4.472773E-001	5.585829E-001	3.642635239
97	3.546752E-001	2.637310E-001	2.820321374
98	3.804945E-001	1.582285E-001	2.925823911
99	3.388925E-001	4.454579E-001	2.638594474
100	4.074079E-001	1.051729E-001	3.189225317
101	4.300941E-001	6.724372E-001	3.756489544
102	4.118667E-001	3.862279E-001	3.470280254
103	3.728532E-001	2.039705E-001	2.880081900
104	3.711290E-001	2.508133E-002	3.058971043
105	4.159107E-001	5.024517E-001	3.586504107
106	4.076072E-001	3.437516E-001	3.427803939
107	3.815521E-001	1.783139E-001	3.262366258
108	4.309347E-001	7.464064E-001	3.830458759
109	3.680987E-001	6.257415E-002	3.021478224
110	3.897708E-001	1.445242E-001	3.228576615
111	4.516266E-001	6.140401E-001	3.698092486
112	3.328020E-001	3.718836E-001	2.712168815
113	3.469053E-001	7.071673E-002	3.154769110
114	3.539065E-001	4.798697E-002	3.132039346
115	3.876411E-001	1.218665E-001	2.962185916
116	3.426145E-001	1.705962E-002	3.066992752
117	3.737269E-001	2.281695E-001	3.312221909
118	4.008015E-001	7.893677E-001	3.873420057
119	3.467590E-001	2.718062E-001	2.812246131
120	3.328916E-001	1.568698E-001	2.927182575
121	3.315123E-001	9.935974E-002	2.984692637
122	3.503819E-001	9.510841E-002	2.988943969
124	4.140878E-001	6.841619E-001	3.768214274
125	3.578131E-001	8.042182E-002	3.164474195
126	3.751596E-001	4.416001E-001	3.525652518
127	3.466989E-001	1.952776E-001	3.279330014
128	2.851038E-001	6.749474E-001	2.409104948
129	2.922935E-001	3.694275E-001	2.714624914
131	3.524946E-001	2.949422E-001	3.378994588
132	3.445908E-001	1.344946E-001	3.218546935
133	3.341079E-001	1.244552E-001	3.208507560
134	3.554360E-001	3.079219E-001	3.391974301
136	2.929790E-001	3.698500E-001	2.714202339
137	3.755286E-001	4.605577E-001	3.544610070
138	3.449249E-001	1.344405E-001	2.949611916
139	3.354468E-001	5.411711E-001	3.625223474
141	3.235122E-001	1.256183E-001	3.209670719
142	3.236161E-001	1.186187E-001	2.965433689
143	3.462796E-001	2.334213E-001	3.317473644
145	3.108702E-001	2.773893E-001	2.806663037
146	3.119966E-001	1.285905E-001	3.212642898
147	3.278593E-001	2.543819E-001	3.338434258
149	3.140230E-001	3.365386E-001	2.747513746
