N	MC est. error	MC actual error	Value
1	0.000000E+000	2.304277E-001	0.027584573
2	1.467580E-001	3.896588E-002	0.219046396
3	7.538576E-002	2.745445E-001	-0.016532208
4	3.862870E-002	2.314767E-001	0.026535584
5	4.685203E-002	2.132298E-001	0.044782467
6	1.642215E-001	1.265012E-001	0.131511123
7	7.800883E-002	1.701093E-001	0.087902993
8	7.327382E-002	3.217170E-001	-0.063704752
9	1.680342E-001	2.078490E-001	0.050163275
10	8.101371E-002	1.898628E-001	0.068149463
11	1.251190E-001	1.796581E-001	0.078354225
12	1.194540E-001	1.423413E-001	0.115670977
13	1.457184E-001	6.202832E-002	0.195983953
14	7.118164E-002	4.879786E-001	-0.229966322
15	8.370774E-002	1.096643E-001	0.148347978
16	8.469450E-002	1.869767E-001	0.071035575
17	7.404953E-002	2.445864E-001	0.013425921
18	8.381835E-002	2.971862E-001	-0.039173956
19	9.053732E-002	2.595015E-001	-0.001489180
20	8.542386E-002	2.163809E-001	0.041631424
21	5.223786E-002	2.955019E-001	-0.037489659
22	6.492531E-002	3.774876E-001	-0.119475296
23	8.224369E-002	2.576343E-001	0.000378015
24	5.855744E-002	2.882342E-001	-0.030221933
25	7.280697E-002	2.968293E-001	-0.038817038
26	9.023848E-002	1.954789E-001	0.062533367
28	7.308593E-002	1.993334E-001	0.058678885
29	6.286959E-002	3.256907E-001	-0.067678449
30	6.182753E-002	3.132555E-001	-0.055243211
32	5.540604E-002	2.423781E-001	0.015634173
33	5.874838E-002	1.861734E-001	0.071838875
35	6.123232E-002	2.987049E-001	-0.040692666
36	6.905344E-002	1.886418E-001	0.069370503
38	6.581894E-002	2.458813E-001	0.012130957
40	6.908563E-002	3.128271E-001	-0.054814837
42	4.168180E-002	2.281977E-001	0.029814616
44	5.192697E-002	2.644806E-001	-0.006468358
46	4.454639E-002	2.436591E-001	0.014353203
48	4.921024E-002	3.157457E-001	-0.057733424
50	4.181085E-002	2.858819E-001	-0.027869638
52	4.003807E-002	2.353734E-001	0.022638882
55	4.944550E-002	3.574518E-001	-0.099439527
58	3.941884E-002	3.299292E-001	-0.071916913
60	4.086772E-002	3.484240E-001	-0.090411688
63	5.137302E-002	2.406471E-001	0.017365183
66	4.480227E-002	2.979535E-001	-0.039941183
69	4.242489E-002	2.814409E-001	-0.023428628
72	4.373085E-002	2.274295E-001	0.030582821
76	4.305441E-002	2.372146E-001	0.020797725
79	3.978290E-002	2.117606E-001	0.046251628
83	4.139035E-002	2.388682E-001	0.019144053
87	3.943768E-002	3.189061E-001	-0.060893822
91	2.929415E-002	2.470386E-001	0.010973698
95	3.769025E-002	2.537955E-001	0.004216729
100	3.355094E-002	2.763329E-001	-0.018320624
