N	MC est. error	MC actual error	Value
1	0.000000E+000	2.429720E-001	1.636175963
2	2.861983E-001	8.862827E-002	1.304575658
3	4.076199E-002	8.105414E-001	0.582662490
4	8.970409E-001	7.517104E-001	2.144914328
5	3.978180E-002	3.524307E-001	1.040773275
6	2.756605E-001	8.603570E-002	1.479239629
7	3.675899E-001	2.202664E-001	1.613470366
8	2.171489E-001	6.112652E-002	1.332077406
9	3.393518E-001	2.699241E-001	1.663128042
10	6.070147E-002	4.489046E-001	0.944299325
11	3.691818E-001	1.665699E-001	1.559773782
12	1.307778E-001	2.015906E-001	1.191613293
13	1.203706E-001	2.817942E-001	1.111409733
14	2.397622E-001	4.059997E-002	1.433803900
15	9.883755E-001	7.270847E-001	2.120288590
16	2.017386E-001	5.923557E-002	1.333968359
17	1.178411E-001	2.661898E-001	1.127014114
18	1.724456E-001	1.561241E-001	1.237079879
19	9.614055E-002	2.422561E-001	1.150947868
20	2.160797E-001	1.787770E-003	1.391416160
21	8.832732E-001	6.946934E-001	2.087897332
22	7.112602E-002	3.631776E-001	1.030026375
23	1.113220E-001	1.672721E-001	1.225931780
24	5.229351E-001	2.690449E-001	1.662248811
25	1.595795E+000	1.682685E+000	3.075888736
26	1.263702E-001	2.568014E-001	1.136402571
28	8.698386E-002	2.890009E-001	1.104203012
29	3.477365E-001	3.963037E-002	1.432834297
30	1.099627E-001	1.324709E-001	1.260733003
32	8.663099E-002	2.783345E-001	1.114869456
33	1.224503E-001	2.923849E-001	1.100819028
35	1.040634E-001	1.189200E-001	1.274283905
36	9.332860E-001	9.960952E-001	2.389299124
38	1.593111E-001	1.031829E-002	1.382885638
40	1.392208E-001	3.980016E-002	1.353403765
42	7.760677E-001	6.296361E-001	2.022840008
44	9.569377E-002	2.313029E-001	1.161901039
46	1.250955E-001	1.318808E-001	1.261323107
48	8.473084E-002	2.752957E-001	1.117908210
50	1.131022E-001	2.251333E-001	1.168070647
52	1.065802E-001	1.695569E-001	1.223646999
55	1.314088E-001	1.271991E-001	1.266004781
58	8.367008E-001	7.072229E-001	2.100426853
60	6.499829E-002	3.120676E-001	1.081136375
63	1.257954E-001	2.961798E-002	1.363585954
66	3.105840E-001	4.717740E-002	1.346026528
69	4.907146E-001	2.593427E-001	1.652546613
72	9.886631E-002	2.223382E-001	1.170865681
76	2.486172E-001	1.096104E-001	1.502814351
79	7.980814E-002	2.181562E-001	1.175047741
83	3.960467E-001	4.745641E-001	1.867768012
87	1.075681E-001	1.523516E-001	1.240852348
91	4.207040E-001	2.110252E-001	1.604229133
95	8.850987E-002	1.250896E-001	1.268114288
100	7.475291E-002	2.132752E-001	1.179928697
