N	MC est. error	MC actual error	Value
1	0.000000E+000	8.584073E-001	4.000000
2	0.000000E+000	8.584073E-001	4.000000
3	1.088662E+000	1.808259E+000	1.333333
4	0.000000E+000	8.584073E-001	4.000000
5	7.155418E-001	5.840735E-002	3.200000
6	7.698004E-001	4.749260E-001	2.666667
7	0.000000E+000	8.584073E-001	4.000000
8	0.000000E+000	8.584073E-001	4.000000
9	6.625387E-001	9.193704E-001	2.222222
10	6.324555E-001	1.141593E+000	2.000000
11	5.371265E-001	2.325017E-001	2.909091
12	5.443311E-001	4.749260E-001	2.666667
13	4.002730E-001	2.430227E-001	3.384615
14	4.386568E-001	1.264489E-003	3.142857
15	3.510830E-001	3.250740E-001	3.466667
16	4.330127E-001	1.415927E-001	3.000000
17	4.115175E-001	8.276912E-002	3.058824
18	3.513642E-001	1.917407E-001	3.333333
19	3.346187E-001	2.268284E-001	3.368421
20	3.872983E-001	1.415927E-001	3.000000
21	3.717715E-001	9.397361E-002	3.047619
22	3.798058E-001	2.325017E-001	2.909091
23	3.440246E-001	1.115787E-002	3.130435
24	3.315927E-001	2.507401E-002	3.166667
25	3.200000E-001	5.840735E-002	3.200000
26	3.091681E-001	8.917658E-002	3.230769
27	3.200366E-001	3.048154E-002	3.111111
28	2.895155E-001	1.441216E-001	3.285714
29	3.008864E-001	3.082114E-002	3.172414
30	2.721655E-001	1.917407E-001	3.333333
31	3.358359E-001	4.319152E-001	2.709677
32	3.179217E-001	2.665927E-001	2.875000
33	2.846589E-001	9.922498E-003	3.151515
34	3.026446E-001	2.004162E-001	2.941176
35	3.138773E-001	3.987355E-001	2.742857
36	2.484520E-001	1.917407E-001	3.333333
37	2.707082E-001	6.457518E-003	3.135135
38	2.366112E-001	2.268284E-001	3.368421
39	3.019405E-001	4.749260E-001	2.666667
40	2.529822E-001	5.840735E-002	3.200000
41	2.475632E-001	7.791954E-002	3.219512
42	2.628821E-001	9.397361E-002	3.047619
43	2.576999E-001	7.182521E-002	3.069767
44	2.069419E-001	3.129528E-001	3.454545
