N	MC est. error	MC actual error	Value
1	0.000000E+000	9.004769E-002	1.303156238
2	6.305481E-001	9.293761E-001	2.322580036
3	4.571552E-002	3.960867E-001	0.997117191
4	2.653116E-001	1.708787E-001	1.564082609
5	4.093421E-002	4.648058E-001	0.928398149
6	2.912464E-001	2.077273E-001	1.185476647
7	1.194360E-001	4.769663E-001	0.916237648
8	3.559825E-002	4.691446E-001	0.924059307
9	2.192873E-001	1.306818E-001	1.262522086
10	7.019147E-002	4.009729E-001	0.992231078
11	8.651261E-002	3.823752E-001	1.010828744
12	2.395262E-001	1.833061E-001	1.576510045
13	3.083190E-001	1.616853E-001	1.231518602
14	8.406369E-002	4.240466E-001	0.969157284
15	8.194094E-002	3.392775E-001	1.053926458
16	1.582481E-001	2.221328E-001	1.171071162
17	2.569957E-001	1.708520E-001	1.222351926
18	1.619566E-001	2.020696E-001	1.191134347
19	1.900967E-001	1.208469E-001	1.272357014
20	1.237729E-001	2.035624E-001	1.189641545
21	1.113939E-001	1.689082E-001	1.224295735
22	4.636024E-002	4.442991E-001	0.948904817
23	6.866622E-002	3.897378E-001	1.003466103
24	3.138800E-001	4.730833E-002	1.440512261
25	5.703130E-002	3.082622E-001	1.084941691
26	1.592883E+000	1.297945E+000	2.691148858
28	4.104547E-001	2.993093E-001	1.692513198
29	1.036013E-001	1.524457E-001	1.240758235
30	6.677653E-002	3.230926E-001	1.070111321
32	1.717000E-001	1.303126E-001	1.262891313
33	1.580000E-001	1.946884E-001	1.198515485
35	8.147873E-002	2.648083E-001	1.128395633
36	8.096514E-002	2.349411E-001	1.158262849
38	1.192605E+000	1.438431E+000	2.831635129
40	2.393497E-001	1.551380E-001	1.238065979
42	1.356009E-001	2.009217E-001	1.192282279
44	1.737034E-001	1.862403E-001	1.206963677
46	1.765101E-001	3.968839E-002	1.353515537
48	8.676725E-001	1.199386E+000	2.592589770
50	1.943030E-001	1.271271E-001	1.266076832
52	2.564180E-001	8.271693E-002	1.310486999
55	4.673562E-002	4.508687E-001	0.942335202
58	4.948243E-002	3.357618E-001	1.057442154
60	1.488149E-001	1.798453E-001	1.213358669
63	4.672325E-002	3.616764E-001	1.031527555
66	1.317516E-001	5.955756E-002	1.333646372
69	6.268782E-002	2.685903E-001	1.124613625
72	1.549272E-001	2.437939E-002	1.417583321
76	3.400146E-001	1.337226E-001	1.526926496
79	8.389891E-002	2.505221E-001	1.142681867
83	3.597989E-001	1.837183E-002	1.374832097
87	8.277191E-002	1.902491E-001	1.202954826
91	7.072768E-002	1.996338E-001	1.193570119
95	4.608465E-001	2.617154E-001	1.654919366
100	2.185941E-001	5.009108E-002	1.443295006
