N	MC est. error	MC actual error	Value
1	0.000000E+000	2.941505E+000	0.200088
2	2.738478E-001	2.745153E+000	0.396439
3	1.045511E+000	1.173422E+000	1.968171
4	1.552284E+000	1.718608E+000	4.860201
5	2.319124E+000	1.724770E-001	3.314070
6	1.089226E+000	8.424886E-001	2.299104
7	1.305248E+000	7.801755E-001	2.361417
8	1.782796E+000	1.122728E+000	4.264321
9	1.117620E+000	8.156489E-001	2.325944
10	1.834731E+000	2.348363E+000	5.489956
11	9.213961E-001	8.767432E-001	2.264849
12	1.519507E+000	2.338760E+000	5.480352
13	1.311658E+000	5.181709E-001	3.659764
14	5.763351E-001	1.470204E+000	1.671389
15	1.206026E+000	7.168349E-001	3.858428
16	1.274348E+000	1.763170E+000	4.904763
17	7.057567E-001	8.949656E-001	2.246627
18	9.583452E-001	4.845394E-001	3.626132
19	8.268203E-001	2.421987E-001	2.899394
20	9.897554E-001	2.043001E-001	3.345893
21	8.668596E-001	1.680075E+000	4.821667
22	8.569983E-001	3.382391E-001	2.803354
23	7.342308E-001	8.305481E-002	3.058538
24	7.004633E-001	3.241064E-001	2.817486
25	7.219162E-001	3.566213E-002	3.105931
26	8.547849E-001	2.220380E-001	3.363631
28	9.504070E-001	1.739789E+000	4.881381
29	8.059099E-001	2.153681E-001	3.356961
30	7.754528E-001	5.140110E-001	3.655604
32	6.257896E-001	4.191753E-001	2.722417
33	5.816512E-001	7.864437E-001	2.355149
35	5.995161E-001	2.025133E-001	2.939079
36	7.225805E-001	8.460557E-001	3.987648
38	5.063367E-001	1.016105E+000	2.125488
40	5.060932E-001	4.524157E-001	2.689177
42	5.358794E-001	3.388553E-001	2.802737
44	5.495911E-001	9.748901E-001	2.166703
46	5.366686E-001	5.633585E-001	2.578234
48	5.962451E-001	2.509393E-001	2.890653
50	4.141406E-001	7.563799E-001	2.385213
52	5.896901E-001	3.643690E-001	3.505962
55	5.531093E-001	1.155047E-001	3.257097
58	5.099350E-001	1.333353E-001	3.008257
60	4.745192E-001	3.865306E-001	2.755062
63	4.841751E-001	3.027423E-001	2.838850
66	5.442163E-001	3.697627E-001	3.511355
69	4.539876E-001	1.635109E-001	2.978082
72	3.546001E-001	5.626070E-001	2.578986
76	4.435241E-001	6.191455E-002	3.203507
79	4.659700E-001	2.649998E-001	3.406592
83	4.790611E-001	1.739481E-001	3.315541
87	3.000473E-001	1.122265E+000	2.019328
91	4.183153E-001	5.364146E-002	3.087951
95	4.441289E-001	1.667413E-001	3.308334
100	3.832225E-001	4.605756E-001	3.602168
