N	MC est. error	MC actual error	Value
1	0.000000E+000	6.138974E-001	-0.355885173
2	8.151729E-002	2.044526E-001	0.053559646
3	7.812809E-002	8.398266E-002	0.174029617
4	8.553844E-002	2.576512E-001	0.000361053
5	1.193272E-001	1.242218E-001	0.133790461
6	9.212574E-002	3.662428E-001	-0.108230485
7	8.502406E-002	9.529297E-002	0.162719308
8	1.580702E-001	3.192078E-001	-0.061195533
9	1.309099E-001	1.431545E-001	0.114857763
10	8.080248E-002	1.042320E-001	0.153780260
11	1.385642E-001	3.474283E-001	-0.089416013
12	1.374224E-001	2.649735E-001	-0.006961220
13	7.165476E-002	1.117338E-001	0.146278496
14	9.990337E-002	1.170527E-001	0.140959565
15	7.005027E-002	2.764569E-001	-0.018444632
16	9.493529E-002	3.742159E-001	-0.116203585
17	7.552779E-002	1.298279E-001	0.128184375
18	5.447693E-002	2.182460E-001	0.039766267
19	7.291678E-002	2.259658E-001	0.032046486
20	4.860499E-002	3.737851E-001	-0.115772835
21	8.746279E-002	1.202844E-001	0.137727913
22	9.183202E-002	1.366452E-001	0.121367056
23	6.327300E-002	2.418460E-001	0.016166288
24	6.493060E-002	3.514093E-001	-0.093397058
25	7.055423E-002	2.968680E-001	-0.038855753
26	7.484754E-002	1.996003E-001	0.058411950
28	8.040132E-002	2.781173E-001	-0.020104994
29	5.679006E-002	2.309536E-001	0.027058678
30	4.979283E-002	1.686437E-001	0.089368581
32	6.137073E-002	2.031783E-001	0.054833931
33	6.118075E-002	1.706799E-001	0.087332366
35	6.286094E-002	2.759486E-001	-0.017936292
36	6.495002E-002	1.927037E-001	0.065308571
38	5.401950E-002	2.339133E-001	0.024099010
40	6.075631E-002	3.182484E-001	-0.060236137
42	3.835740E-002	2.695103E-001	-0.011497980
44	4.804665E-002	2.072773E-001	0.050734966
46	5.974589E-002	2.339865E-001	0.024025781
48	5.338858E-002	2.095270E-001	0.048485324
50	4.991735E-002	1.558849E-001	0.102127400
52	4.838624E-002	3.023714E-001	-0.044359155
55	4.847174E-002	2.477754E-001	0.010236908
58	4.575747E-002	2.896373E-001	-0.031625047
60	4.784238E-002	2.391606E-001	0.018851684
63	4.447941E-002	2.867993E-001	-0.028787009
66	3.854447E-002	2.182215E-001	0.039790763
69	5.035154E-002	3.074836E-001	-0.049471313
72	4.182150E-002	3.031422E-001	-0.045129890
76	4.309188E-002	2.505968E-001	0.007415493
79	3.788274E-002	2.252701E-001	0.032742133
83	3.713010E-002	2.624399E-001	-0.004427622
87	3.641004E-002	2.605125E-001	-0.002500255
91	3.693638E-002	1.974206E-001	0.060591641
95	3.865800E-002	3.198857E-001	-0.061873438
100	3.394366E-002	2.544009E-001	0.003611380
