Part A: Newton's method results
Rosenbrock minimum starting from (5,5): x = 1.000000, y = 1.000000, f = 0.000000
Himmelblau minimum from (6,6): x = 3.000000, y = 2.000000, f = 0.000000
Himmelblau minimum from (-6,6): x = -2.805118, y = 3.131313, f = 0.000000
Himmelblau minimum from (-6,-6): x = -3.779310, y = -3.283186, f = 0.000000
Himmelblau minimum from (6,-6): x = 3.584428, y = -1.848127, f = 0.000000

Part B: Hydrogen atom bound state via shooting method
Lowest eigen-energy E0 ≈ -0.499975 (expected -0.5)

r	f(r)
0.0010	0.000999
0.0218	0.021373
0.0424	0.040643
0.0736	0.068388
0.1112	0.099470
0.1561	0.133561
0.2079	0.168894
0.2667	0.204240
0.3323	0.238359
0.4051	0.270163
0.4852	0.298688
0.5731	0.323107
0.6693	0.342727
0.7745	0.356987
0.8895	0.365458
1.0156	0.367830
1.1548	0.363894
1.3121	0.353284
1.4897	0.335824
1.6926	0.311498
1.9271	0.280506
2.2054	0.243025
2.4918	0.206186
2.7913	0.171174
3.1147	0.138207
3.4756	0.107468
3.8352	0.082731
4.1970	0.062996
4.5661	0.047312
4.9453	0.034972
5.3376	0.025360
5.7460	0.017949
6.1739	0.012282
6.6253	0.007953
7.1058	0.004590
7.6058	0.001901
8.0000	0.000052
