Linear spline interpolation (y = cos(x))
x	Spline(x)	SplineInt(x)
0.0	1.000000	0.000000
0.5	0.770151	0.442538
1.0	0.540302	0.770151
1.5	0.062078	0.920746
2.0	-0.416147	0.832229
2.5	-0.703070	0.552425
3.0	-0.989992	0.129159
3.5	-0.821818	-0.323793
4.0	-0.653644	-0.692659
4.5	-0.184991	-0.902317
5.0	0.283662	-0.877650
5.5	0.621916	-0.651255
6.0	0.960170	-0.255733
6.5	0.857036	0.198568
7.0	0.753902	0.601303
7.5	0.304201	0.865829
8.0	-0.145500	0.905504
8.5	-0.528315	0.737050
9.0	-0.911130	0.377189

Quadratic spline interpolation (y = sin(x))
x	Spline(x)	SplineInt(x)
0.0	0.000000	0.000000
0.5	0.420735	0.105184
1.0	0.841471	0.420735
1.5	1.068795	0.914420
2.0	0.909297	1.425060
2.5	0.540799	1.788884
3.0	0.141120	1.960662
3.5	-0.290995	1.924598
4.0	-0.756802	1.664052
4.5	-1.048660	1.196787
5.0	-0.958924	0.678991
5.5	-0.648781	0.274597
6.0	-0.279415	0.040080
6.5	0.154173	0.005885
7.0	0.656987	0.205791
7.5	1.008792	0.637704
8.0	0.989358	1.152710
8.5	0.742521	1.589162
9.0	0.412118	1.881304

Cubic spline interpolation (y = sqrt(x))
x	Spline(x)	SplineInt(x)
0.0	0.000000	0.000000
0.5	0.556574	0.141501
1.0	1.000000	0.537716
1.5	1.257056	1.108775
2.0	1.414214	1.778122
2.5	1.572573	2.524243
3.0	1.732051	3.350881
3.5	1.873162	4.252987
4.0	2.000000	5.221665
4.5	2.120710	6.252043
5.0	2.236068	7.341482
5.5	2.345387	8.487089
6.0	2.449490	9.686000
6.5	2.549438	10.935892
7.0	2.645751	12.234832
7.5	2.738740	13.581092
8.0	2.828427	14.973022
8.5	2.915051	16.408996
9.0	3.000000	17.887794
